Office,State,CensusPop,raceYear,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,raceNotes
House,Alabama,N/A,2020,District 1,"211,825","Carl, Jerry",Challenger,"116,949","Averhart, James",Challenger,Write-in,301,Scattered Write-Ins,Challenger,N/A,"94,876",R,0.09,64.43,35.57,
House,Alabama,N/A,2020,District 2,"197,996","Moore, Barry",Challenger,"105,286","Harvey-Hall, Phyllis",Challenger,Libertarian,287,"Page, John C",Challenger,N/A,"92,710",R,0.09,65.28,34.72,
House,Alabama,N/A,2020,District 3,"217,384","Rogers, Mike D.",Incumbent,"104,595","Winfrey, Adia McClellan",Challenger,Write-in,255,Scattered Write-Ins,Challenger,N/A,"112,789",R,0.08,67.51,32.49,
House,Alabama,N/A,2020,District 4,"261,553","Aderholt, Robert",Incumbent,"56,237","Neighbors, Rick",Challenger,Write-in,293,Scattered Write-Ins,Challenger,N/A,"205,316",R,0.09,82.3,17.7,
House,Alabama,N/A,2020,District 5,"253,094","Brooks, Mo",Incumbent,N/A,N/A,N/A,Write-in,"11,066",Scattered Write-Ins,Challenger,N/A,"242,028",R,4.19,100,0,
House,Alabama,N/A,2020,District 6,"274,160","Palmer, Gary",Incumbent,N/A,N/A,N/A,Independent,"8,101","Pellegrino, Kaynen Bryant",Challenger,N/A,"266,059",R,2.87,100,0,
House,Alabama,N/A,2020,District 7,N/A,N/A,N/A,"225,742","Sewell, Terri A.",Incumbent,Write-in,"6,589",Scattered Write-Ins,Challenger,N/A,"219,153",D,2.84,0,100,
House,Alaska,N/A,2020,At Large,"192,126","Young, Don",Incumbent,"159,856","Galvin, Alyse  S.",Challenger,Write-in,"1,183",Write-In,Challenger,N/A,"32,270",R,0.33,54.58,45.42,
House,Arizona,N/A,2020,District 1,"176,709","Shedd, Tiffany",Challenger,"188,469","O'Halleran, Tom",Incumbent,N/A,N/A,N/A,N/A,N/A,"11,760",D,0,48.39,51.61,
House,Arizona,N/A,2020,District 2,"170,975","Martin, Brandon",Challenger,"209,945","Kirkpatrick, Ann",Incumbent,N/A,N/A,N/A,N/A,N/A,"38,970",D,0,44.88,55.12,
House,Arizona,N/A,2020,District 3,"95,594","Wood, Daniel",Challenger,"174,243","Grijalva, Raúl M.",Incumbent,N/A,N/A,N/A,N/A,N/A,"78,649",D,0,35.43,64.57,
House,Arizona,N/A,2020,District 4,"278,002","Gosar, Paul",Incumbent,"120,484","DiSanto, Delina",Challenger,N/A,N/A,N/A,N/A,N/A,"157,518",R,0,69.76,30.24,
House,Arizona,N/A,2020,District 5,"262,414","Biggs, Andy",Incumbent,"183,171","Greene, Joan",Challenger,N/A,N/A,N/A,N/A,N/A,"79,243",R,0,58.89,41.11,
House,Arizona,N/A,2020,District 6,"217,783","Schweikert, David",Incumbent,"199,644","Tipirneni, Hiral",Challenger,N/A,N/A,N/A,N/A,N/A,"18,139",R,0,52.17,47.83,
House,Arizona,N/A,2020,District 7,"50,226","Barnett, Josh",Challenger,"165,452","Gallego, Ruben",Incumbent,N/A,N/A,N/A,N/A,N/A,"115,226",D,0,23.29,76.71,
House,Arizona,N/A,2020,District 8,"254,633","Lesko, Debbie",Incumbent,"170,816","Muscato, Michael Archangel",Challenger,N/A,N/A,N/A,N/A,N/A,"83,817",R,0,59.85,40.15,
House,Arizona,N/A,2020,District 9,"135,180","Giles, Dave",Challenger,"217,094","Stanton, Greg",Incumbent,N/A,N/A,N/A,N/A,N/A,"81,914",D,0,38.37,61.63,
House,Arkansas,N/A,2020,District 1,"237,596","Crawford, Rick",Incumbent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"237,596",R,0,100,0,
House,Arkansas,N/A,2020,District 2,"184,093","Hill, French",Incumbent,"148,410","Elliott, Joyce",Challenger,N/A,N/A,N/A,N/A,N/A,"35,683",R,0,55.37,44.63,
House,Arkansas,N/A,2020,District 3,"214,960","Womack, Steve",Incumbent,"106,325","Williams, Celeste",Challenger,Libertarian,"12,977","Kalagias, Michael J.",Challenger,N/A,"108,635",R,3.88,66.91,33.09,
House,Arkansas,N/A,2020,District 4,"191,617","Westerman, Bruce",Incumbent,"75,750","Hanson, William",Challenger,Libertarian,"7,668","Gilbert, Frank",Challenger,N/A,"115,867",R,2.79,71.67,28.33,
House,California,N/A,2020,District 1,"204,190","LaMalfa, Doug",Incumbent,"154,073","Denney, Audrey",Challenger,N/A,N/A,N/A,N/A,N/A,"50,117",R,0,56.99,43.01,
House,California,N/A,2020,District 2,"94,320","Mensing, Dale K.",Challenger,"294,435","Huffman, Jared",Incumbent,N/A,N/A,N/A,N/A,N/A,"200,115",D,0,24.26,75.74,
House,California,N/A,2020,District 3,"145,945","Hamilton, Tamika",Challenger,"176,043","Garamendi, John",Incumbent,N/A,N/A,N/A,N/A,N/A,"30,098",D,0,45.33,54.67,
House,California,N/A,2020,District 4,"247,291","McClintock, Tom",Incumbent,"194,731","Kennedy, Brynne S.",Challenger,N/A,N/A,N/A,N/A,N/A,"52,560",R,0,55.95,44.05,
