Office,State,CensusPop,raceYear,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,raceNotes
House,Alabama,N/A,1980,District 1,"111,089","Edwards, Jack",Incumbent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"6,132","111,089",R,0,100,0,
House,Alabama,N/A,1980,District 2,"104,796","Dickinson, William Louis",Incumbent,"63,447","Wyatt, Cecil",Challenger,N/A,N/A,N/A,N/A,"4,719","41,349",R,0,62.29,37.71,
House,Alabama,N/A,1980,District 3,N/A,N/A,N/A,"107,654","Nichols, Bill",Incumbent,N/A,N/A,N/A,N/A,N/A,"107,654",D,0,0,100,
House,Alabama,N/A,1980,District 4,N/A,N/A,N/A,"129,365","Bevill, Tom",Incumbent,N/A,N/A,N/A,N/A,"2,721","129,365",D,0,0,100,
House,Alabama,N/A,1980,District 5,N/A,N/A,N/A,"117,626","Flippo, Ronnie G.",Incumbent,N/A,N/A,N/A,N/A,"7,341","117,626",D,0,0,100,
House,Alabama,N/A,1980,District 6,"95,019","Smith, Albert Lee Jr.",Challenger,"81,536","Clifford, W. B.",Challenger,N/A,N/A,N/A,N/A,"5,427","13,483",R,0,53.82,46.18,
House,Alabama,N/A,1980,District 7,"43,320","Bacon, Jamese",Challenger,"122,505","Shelby, Richard C.",Incumbent,N/A,N/A,N/A,N/A,"2,979","79,185",D,0,26.12,73.88,
House,Alaska,N/A,1980,At Large,"114,089","Young, Don",Incumbent,"39,922","Parnell, Kevin",Challenger,N/A,N/A,N/A,N/A,607,"74,167",R,0,74.08,25.92,
House,Arizona,N/A,1980,District 1,"136,961","Rhodes, John J.",Incumbent,"40,045","Jancek, Steve",Challenger,N/A,N/A,N/A,N/A,"9,827","96,916",R,0,77.38,22.62,
House,Arizona,N/A,1980,District 2,"88,653","Huff, Richard H.",Challenger,"127,736","Udall, Morris K.",Incumbent,N/A,N/A,N/A,N/A,"3,297","39,083",D,0,40.97,59.03,
House,Arizona,N/A,1980,District 3,"65,845","Croft, Bob",Challenger,"141,448","Stump, Robert Lee",Incumbent,N/A,N/A,N/A,N/A,"12,529","75,603",D,0,31.76,68.24,
House,Arizona,N/A,1980,District 4,"142,565","Rudd, Eldon",Incumbent,"85,046","Miller, Les",Challenger,N/A,N/A,N/A,N/A,N/A,"57,519",R,0,62.64,37.36,
House,Arkansas,N/A,1980,District 1,N/A,N/A,N/A,Unopposed,"Alexander, William",Incumbent,N/A,N/A,N/A,N/A,N/A,0,D,0,0,100,
House,Arkansas,N/A,1980,District 2,"159,148","Bethune, Ed",Incumbent,"42,278","Reid, James G.",Challenger,N/A,N/A,N/A,N/A,229,"116,870",R,0,79.01,20.99,
House,Arkansas,N/A,1980,District 3,Unopposed,"Hammerschmidt, John",Incumbent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,R,0,100,0,
House,Arkansas,N/A,1980,District 4,N/A,N/A,N/A,Unopposed,"Anthony, Beryl F. Jr.",Challenger,N/A,N/A,N/A,N/A,N/A,0,D,0,0,100,
House,California,N/A,1980,District 1,"145,585","Chappie, Eugene A.",Challenger,"107,993","Johnson, Harold T.",Incumbent,N/A,N/A,N/A,N/A,"17,497","37,592",R,0,57.41,42.59,
House,California,N/A,1980,District 2,"141,698","Clausen, Don H.",Incumbent,"109,789","Bork, Norma",Challenger,N/A,N/A,N/A,N/A,"10,187","31,909",R,0,56.34,43.66,
House,California,N/A,1980,District 3,"64,215","Murphy, Joseph",Challenger,"170,670","Matsui, Robert T.",Incumbent,N/A,N/A,N/A,N/A,"6,980","106,455",D,0,27.34,72.66,
House,California,N/A,1980,District 4,"60,935","Dehr, Albert",Challenger,"133,853","Fazio, Vic",Incumbent,N/A,N/A,N/A,N/A,"10,806","72,918",D,0,31.28,68.72,
House,California,N/A,1980,District 5,"89,624","McQuaid, Dennis",Challenger,"101,105","Burton, John",Incumbent,N/A,N/A,N/A,N/A,"7,092","11,481",D,0,46.99,53.01,
