Office,State,CensusPop,raceYear,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,raceNotes
House,Alabama,N/A,2000,District 1,"151,188","Callahan, H. L.",Incumbent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"14,481","151,188",R,0,100,0,
House,Alabama,N/A,2000,District 2,"151,830","Everett, Terry",Incumbent,"64,958","Woods, Charles",Challenger,N/A,N/A,N/A,N/A,"5,848","86,872",R,0,70.04,29.96,
House,Alabama,N/A,2000,District 3,"147,317","Riley, Robert",Incumbent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"22,202","147,317",R,0,100,0,
House,Alabama,N/A,2000,District 4,"140,009","Aderholt, Robert",Incumbent,"86,400","Folsom, Marsha",Challenger,N/A,N/A,N/A,N/A,"4,697","53,609",R,0,61.84,38.16,
House,Alabama,N/A,2000,District 5,N/A,N/A,N/A,"186,059","Cramer, Robert E.",Incumbent,N/A,N/A,N/A,N/A,"23,455","186,059",D,0,0,100,
House,Alabama,N/A,2000,District 6,"212,751","Bachus, Spencer",Incumbent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"29,166","212,751",R,0,100,0,
House,Alabama,N/A,2000,District 7,"46,134","Martin, Ed",Challenger,"148,243","Hilliard, Earl F.",Incumbent,N/A,N/A,N/A,N/A,"4,256","102,109",D,0,23.73,76.27,
House,Alaska,N/A,2000,At Large,"190,862","Young, Don",Incumbent,"45,372","Greene, Clifford",Challenger,N/A,N/A,N/A,N/A,"38,159","145,490",R,0,80.79,19.21,
House,Arizona,N/A,2000,District 1,"123,289","Flake, Jeff",Challenger,"97,455","Mendoza, David",Challenger,N/A,N/A,N/A,N/A,"9,227","25,834",R,0,55.85,44.15,
House,Arizona,N/A,2000,District 2,"32,990","Barenholtz, Bill",Challenger,"84,034","Pastor, Ed",Incumbent,N/A,N/A,N/A,N/A,"5,581","51,044",D,0,28.19,71.81,
House,Arizona,N/A,2000,District 3,"198,367","Stump, Robert Lee",Incumbent,"94,676","Scharer, Gene",Challenger,N/A,N/A,N/A,N/A,"8,927","103,691",R,0,67.69,32.31,
House,Arizona,N/A,2000,District 4,"140,396","Shadegg, John",Incumbent,"71,803","Jankowski, Ben",Challenger,Libertarian,"7,298","Hancock, NULL",Challenger,N/A,"68,593",R,3.32,66.16,33.84,
House,Arizona,N/A,2000,District 5,"172,986","Kolbe, Jim",Incumbent,"101,564","Cunningham, George",Challenger,N/A,N/A,N/A,N/A,"13,059","71,422",R,0,63.01,36.99,
House,Arizona,N/A,2000,District 6,"186,687","Hayworth, J.D.",Incumbent,"108,317","Nelson, Larry",Challenger,N/A,N/A,N/A,N/A,"9,000","78,370",R,0,63.28,36.72,
House,Arkansas,N/A,2000,District 1,"79,437","Myshka, Susan",Challenger,"120,266","Berry, Marion",Incumbent,N/A,N/A,N/A,N/A,253,"40,829",D,0,39.78,60.22,
House,Arkansas,N/A,2000,District 2,"93,692","Thomas, Bob",Challenger,"126,957","Snyder, Vic",Incumbent,N/A,N/A,N/A,N/A,N/A,"33,265",D,0,42.46,57.54,
House,Arkansas,N/A,2000,District 3,Unopposed,"Hutchinson, Asa",Incumbent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,R,0,100,0,
House,Arkansas,N/A,2000,District 4,"104,017","Dickey, Jay",Incumbent,"108,143","Ross, Mike",Challenger,N/A,N/A,N/A,N/A,N/A,"4,126",D,0,49.03,50.97,
House,California,N/A,2000,District 1,"66,987","Chase, Russel J.",Challenger,"155,638","Thompson, Mike",Incumbent,N/A,N/A,N/A,N/A,"16,710","88,651",D,0,30.09,69.91,
House,California,N/A,2000,District 2,"168,172","Herger, Wally",Incumbent,"72,075","Morgan, Stan",Challenger,N/A,N/A,N/A,N/A,"15,609","96,097",R,0,70,30,
House,California,N/A,2000,District 3,"129,254","Ose, Doug",Incumbent,"93,067","Kent, Bob",Challenger,N/A,N/A,N/A,N/A,"7,861","36,187",R,0,58.14,41.86,
House,California,N/A,2000,District 4,"197,503","Doolittle, John T.",Incumbent,"97,974","Norberg, Mark A.",Challenger,N/A,N/A,N/A,N/A,"15,946","99,529",R,0,66.84,33.16,
House,California,N/A,2000,District 5,"55,945","Payne, Ken",Challenger,"147,025","Matsui, Robert T.",Incumbent,N/A,N/A,N/A,N/A,"11,089","91,080",D,0,27.56,72.44,
House,California,N/A,2000,District 6,"80,169","McAuliffe, Ken",Challenger,"182,116","Woolsey, Lynn",Incumbent,N/A,N/A,N/A,N/A,"20,833","101,947",D,0,30.57,69.43,
House,California,N/A,2000,District 7,"44,154","Hoffman, Christopher A.",Challenger,"159,692","Miller, George",Incumbent,N/A,N/A,N/A,N/A,"4,943","115,538",D,0,21.66,78.34,
House,California,N/A,2000,District 8,"25,298","Sparks, Adam",Challenger,"181,847","Pelosi, Nancy",Incumbent,N/A,N/A,N/A,N/A,"8,283","156,549",D,0,12.21,87.79,
House,California,N/A,2000,District 9,"21,033","Washington, Arneze",Challenger,"182,352","Lee, Barbara",Incumbent,N/A,N/A,N/A,N/A,"11,265","161,319",D,0,10.34,89.66,
House,California,N/A,2000,District 10,"134,863","Hutchison, Claude B. Jr.",Challenger,"160,429","Tauscher, Ellen O.",Incumbent,N/A,N/A,N/A,N/A,"9,527","25,566",D,0,45.67,54.33,
House,California,N/A,2000,District 11,"120,635","Pombo, Richard W.",Incumbent,"79,539","Santos, Tom Y.",Challenger,N/A,N/A,N/A,N/A,"8,433","41,096",R,0,60.27,39.73,
House,California,N/A,2000,District 12,"44,162","Garza, Mike",Challenger,"158,404","Lantos, Tom",Incumbent,N/A,N/A,N/A,N/A,"9,990","114,242",D,0,21.8,78.2,
House,California,N/A,2000,District 13,"44,499","Goetz, James R.",Challenger,"129,012","Stark, Fortney Pete",Incumbent,N/A,N/A,N/A,N/A,"9,635","84,513",D,0,25.65,74.35,
House,California,N/A,2000,District 14,"59,338","Quraishi, Bill",Challenger,"161,720","Eshoo, Anna G.",Incumbent,N/A,N/A,N/A,N/A,"9,204","102,382",D,0,26.84,73.16,
House,California,N/A,2000,District 15,"99,866","Cunneen, Jim",Challenger,"128,545","Honda, Mike M.",Challenger,N/A,N/A,N/A,N/A,"8,493","28,679",D,0,43.72,56.28,
House,California,N/A,2000,District 16,"37,213","Thayn, Horace Gene",Challenger,"115,118","Lofgren, Zoe",Incumbent,N/A,N/A,N/A,N/A,"7,415","77,905",D,0,24.43,75.57,
House,California,N/A,2000,District 17,"51,557","Engler, Clint C.",Challenger,"143,219","Farr, Sam",Incumbent,N/A,N/A,N/A,N/A,"13,984","91,662",D,0,26.47,73.53,
House,California,N/A,2000,District 18,"56,465","Wilson, Steve R.",Challenger,"121,003","Condit, Gary A.",Incumbent,N/A,N/A,N/A,N/A,"2,860","64,538",D,0,31.82,68.18,
House,California,N/A,2000,District 19,"144,517","Radanovich, George P.",Incumbent,"70,578","Rosenberg, Dan",Challenger,N/A,N/A,N/A,N/A,"7,520","73,939",R,0,67.19,32.81,
House,California,N/A,2000,District 20,"57,563","Rodriguez, Rich",Challenger,"66,235","Dooley, Calvin",Incumbent,N/A,N/A,N/A,N/A,"2,736","8,672",D,0,46.5,53.5,
House,California,N/A,2000,District 21,"142,539","Thomas, William M.",Incumbent,"49,318","Martinez, Pedro Jr.",Challenger,N/A,N/A,N/A,N/A,"7,243","93,221",R,0,74.29,25.71,
House,California,N/A,2000,District 22,"113,094","Stoker, Mike",Challenger,"135,538","Capps, Lois",Incumbent,N/A,N/A,N/A,N/A,"6,438","22,444",D,0,45.49,54.51,
House,California,N/A,2000,District 23,"119,479","Gallegly, Elton",Incumbent,"89,918","Case, Michael",Challenger,N/A,N/A,N/A,N/A,"11,637","29,561",R,0,57.06,42.94,
House,California,N/A,2000,District 24,"70,169","Doyle, Jerry",Challenger,"155,398","Sherman, Brad",Incumbent,N/A,N/A,N/A,N/A,"9,877","85,229",D,0,31.11,68.89,
House,California,N/A,2000,District 25,"138,628","McKeon, Howard P.",Incumbent,"73,921","Gold, Sid",Challenger,N/A,N/A,N/A,N/A,"10,229","64,707",R,0,65.22,34.78,
House,California,N/A,2000,District 26,N/A,N/A,N/A,"96,500","Berman, Howard L.",Incumbent,N/A,N/A,N/A,N/A,"18,286","96,500",D,0,0,100,
House,California,N/A,2000,District 27,"94,518","Rogan, James E.",Incumbent,"113,708","Schiff, Adam B.",Challenger,N/A,N/A,N/A,N/A,"7,548","19,190",D,0,45.39,54.61,
House,California,N/A,2000,District 28,"116,557","Dreier, David",Incumbent,"81,804","Nelson, Janice M.",Challenger,N/A,N/A,N/A,N/A,"6,838","34,753",R,0,58.76,41.24,
House,California,N/A,2000,District 29,"45,784","Scileppi, Jim",Challenger,"180,295","Waxman, Henry A.",Incumbent,N/A,N/A,N/A,N/A,"12,122","134,511",D,0,20.25,79.75,
House,California,N/A,2000,District 30,"11,788","Goss, Tony D.",Challenger,"83,223","Becerra, Xavier",Incumbent,N/A,N/A,N/A,N/A,"4,909","71,435",D,0,12.41,87.59,
House,California,N/A,2000,District 31,N/A,N/A,N/A,"89,600","Solis, Hilda L.",Challenger,N/A,N/A,N/A,N/A,"23,314","89,600",D,0,0,100,
House,California,N/A,2000,District 32,"19,924","Williamson, Kathy",Challenger,"137,447","Dixon, Julian C.",Incumbent,N/A,N/A,N/A,N/A,"7,156","117,523",D,0,12.66,87.34,
House,California,N/A,2000,District 33,"8,260","Miller, Wayne",Challenger,"60,510","Roybal-Allard, Lucille",Incumbent,N/A,N/A,N/A,N/A,"2,801","52,250",D,0,12.01,87.99,
House,California,N/A,2000,District 34,"33,445","Canales, Robert Arthur",Challenger,"105,980","Napolitano, Grace Flores",Incumbent,N/A,N/A,N/A,N/A,"9,298","72,535",D,0,23.99,76.01,
House,California,N/A,2000,District 35,"12,582","McGill, Carl",Challenger,"100,569","Waters, Maxine",Incumbent,N/A,N/A,N/A,N/A,"3,064","87,987",D,0,11.12,88.88,
House,California,N/A,2000,District 36,"111,199","Kuykendall, Steven",Incumbent,"115,651","Harman, Jane",Challenger,N/A,N/A,N/A,N/A,"12,281","4,452",D,0,49.02,50.98,
House,California,N/A,2000,District 37,"12,762","Van, Vernon",Challenger,"93,269","Millender-McDonald, Juanita",Incumbent,N/A,N/A,N/A,N/A,"7,244","80,507",D,0,12.04,87.96,
House,California,N/A,2000,District 38,"87,266","Horn, Steve",Incumbent,"85,498","Schipske, Gerrie",Challenger,N/A,N/A,N/A,N/A,"7,358","1,768",R,0,50.51,49.49,
House,California,N/A,2000,District 39,"129,294","Royce, Ed",Incumbent,"64,938","Kanel, Gill G.",Challenger,N/A,N/A,N/A,N/A,"11,872","64,356",R,0,66.57,33.43,
House,California,N/A,2000,District 40,"151,069","Lewis, Jerry",Incumbent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"37,953","151,069",R,0,100,0,
House,California,N/A,2000,District 41,"104,695","Miller, Gary G.",Incumbent,"66,361","Favila, Rodolfo G.",Challenger,N/A,N/A,N/A,N/A,"6,560","38,334",R,0,61.21,38.79,
House,California,N/A,2000,District 42,"53,239","Pirozzi, Elia",Challenger,"90,585","Baca, Joe",Incumbent,N/A,N/A,N/A,N/A,"7,753","37,346",D,0,37.02,62.98,
House,California,N/A,2000,District 43,"140,201","Calvert, Ken",Incumbent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"50,131","140,201",R,0,100,0,
House,California,N/A,2000,District 44,"123,738","Bono Mack, Mary",Incumbent,"79,302","Oden, Ron",Challenger,N/A,N/A,N/A,N/A,"6,147","44,436",R,0,60.94,39.06,
House,California,N/A,2000,District 45,"136,275","Rohrabacher, Dana",Incumbent,"71,066","Crisell, Ted",Challenger,N/A,N/A,N/A,N/A,"12,044","65,209",R,0,65.73,34.27,
House,California,N/A,2000,District 46,"40,928","Tuchman, Gloria Matta",Challenger,"70,381","Sanchez, Loretta",Incumbent,N/A,N/A,N/A,N/A,"5,599","29,453",D,0,36.77,63.23,
House,California,N/A,2000,District 47,"181,365","Cox, Charles Christopher",Incumbent,"83,186","Graham, John",Challenger,N/A,N/A,N/A,N/A,"11,850","98,179",R,0,68.56,31.44,
House,California,N/A,2000,District 48,"160,627","Issa, Darrell",Challenger,"74,073","Kouvelis, Peter",Challenger,N/A,N/A,N/A,N/A,"26,778","86,554",R,0,68.44,31.56,
House,California,N/A,2000,District 49,"105,515","Bilbray, Brian P.",Incumbent,"113,400","Davis, Susan A.",Challenger,N/A,N/A,N/A,N/A,"9,574","7,885",D,0,48.2,51.8,
House,California,N/A,2000,District 50,"38,526","Divine, Bob",Challenger,"95,191","Filner, Bob",Incumbent,N/A,N/A,N/A,N/A,"5,755","56,665",D,0,28.81,71.19,
